Date;open;high;low;close;volume;
12/12/2020;1805130000000,00;1891960000000,00;1804600000000,00;1880370000000,00;21752580801.79;
11/12/2020;1826390000000,00;182685000000,00;1761950000000,00;1805890000000,00;27919640985.34;
10/12/2020;1855330000000,00;1855330000000,00;1795710000000,00;1826500000000,00;25547132265.47;
09/12/2020;1832090000000,00;1862630000000,00;1793550000000,00;1855390000000,00;34420373070.86;
08/12/2020;1919150000000,00;1928350000000,00;1826990000000,00;1832110000000,00;31692288756.38;
07/12/2020;1934310000000,00;1941180000000,00;1893110000000,00;1919160000000,00;26896357742.24;
06/12/2020;1915420000000,00;1939050000000,00;1889790000000,00;1934510000000,00;25293775713.52;
05/12/2020;1869840000000,00;1916040000000,00;1859020000000,00;19154231131,00;27242455063.89;
04/12/2020;1944700000000,00;1951140000000,00;1869720000000,00;1869980000000,00;33872388057.72;
03/12/2020;1920590000000,00;1956620000000,00;1892580000000,00;1944540000000,00;31930317405.27;
02/12/2020;1880170000000,00;1930830000000,00;1834770000000,00;1920110000000,00;37387697138.68;
01/12/2020;1963380000000,00;1984600000000,00;1832190000000,00;1880300000000,00;49633658712.12;
30/11/2020;1817830000000,00;1974930000000,00;1817830000000,00;1962580000000,00;47728480399.28;
29/11/2020;1771960000000,00;1828360000000,00;1755910000000,00;1817750000000,00;31133957704.27;
28/11/2020;1711290000000,00;1785390000000,00;1691070000000,00;177174000000,00;32601040733.64;
27/11/2020;1715390000000,00;1744500000000,00;1652640000000,00;1710840000000,00;38886494645.12;
26/11/2020;1872980000000,00;1886630000000,00;1635100000000,00;1715060000000,00;61396835736.94;
25/11/2020;1910440000000,00;1939100000000,00;1858110000000,00;187321000000,00;43710357371.46;
